step,D_total,k_total,total_M,n_active,n_dormant,convergence,texture_type,a_env,K_env,innovation_potential,n_self_metatheses,n_absorptive_cross,n_novel_cross,n_env_transitions,temporal_state_counts
93,31,99894.30713611658,68915.95976622542,10,0,1.0,1,2.9135172474836417,200657.14979127527,131741.19002504984,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
94,31,99894.30713611658,68571.3799673943,10,0,1.0,1,2.9135172474836417,200657.14979127527,132085.76982388098,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
95,31,99894.30713611658,68228.52306755733,10,0,1.0,1,2.9135172474836417,200657.14979127527,132428.62672371796,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
96,31,99894.30713611658,67887.38045221954,10,0,1.0,1,2.9135172474836417,200657.14979127527,132769.76933905573,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
97,31,99894.30713611658,67547.94354995845,10,0,1.0,1,2.9135172474836417,200657.14979127527,133109.2062413168,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
98,31,99894.30713611658,67210.20383220866,10,0,1.0,1,2.9135172474836417,200657.14979127527,133446.94595906662,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
99,31,99894.30713611658,66874.15281304762,10,0,1.0,1,2.9135172474836417,200657.14979127527,133782.99697822763,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
100,31,99894.30713611658,66539.78204898238,10,0,1.0,1,2.9043820750088054,200750.47260049864,134210.69055151625,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
101,31,99894.30713611658,66207.08313873746,10,0,1.0,1,2.9043820750088054,200750.47260049864,134543.38946176117,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
102,31,99894.30713611658,65876.04772304378,10,0,1.0,1,2.9043820750088054,200750.47260049864,134874.42487745488,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
103,31,99894.30713611658,65546.66748442856,10,0,1.0,1,2.9043820750088054,200750.47260049864,135203.80511607009,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
104,31,99894.30713611658,65218.934147006425,10,0,1.0,1,2.9043820750088054,200750.47260049864,135531.53845349222,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
105,31,99894.30713611658,64892.83947627139,10,0,1.0,1,2.9043820750088054,200750.47260049864,135857.63312422726,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
106,31,99894.30713611658,64568.37527889003,10,0,1.0,1,2.9043820750088054,200750.47260049864,136182.09732160863,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
107,31,99894.30713611658,64245.53340249559,10,0,1.0,1,2.9043820750088054,200750.47260049864,136504.93919800306,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
108,31,99894.30713611658,63924.30573548311,10,0,1.0,1,2.9043820750088054,200750.47260049864,136826.16686501552,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
109,31,99894.30713611658,63604.684206805694,10,0,1.0,1,2.9043820750088054,200750.47260049864,137145.78839369296,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
110,31,99894.30713611658,63286.660785771666,10,0,1.0,1,2.8953382542587174,200842.86218162978,137556.2013958581,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
111,31,99894.30713611658,62970.227481842805,10,0,1.0,1,2.8953382542587174,200842.86218162978,137872.63469978698,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
112,31,99894.30713611658,62655.37634443359,10,0,1.0,1,2.8953382542587174,200842.86218162978,138187.48583719617,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
113,31,99894.30713611658,62342.09946271143,10,0,1.0,1,2.8953382542587174,200842.86218162978,138500.76271891835,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
114,31,99894.30713611658,62030.38896539787,10,0,1.0,1,2.8953382542587174,200842.86218162978,138812.4732162319,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
115,31,99894.30713611658,61720.23702057088,10,0,1.0,1,2.8953382542587174,200842.86218162978,139122.6251610589,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
116,31,99894.30713611658,61411.63583546803,10,0,1.0,1,2.8953382542587174,200842.86218162978,139431.22634616174,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
117,31,99894.30713611658,61104.57765629068,10,0,1.0,1,2.8953382542587174,200842.86218162978,139738.28452533908,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
