variant,alpha,mu,a,m0,steps,final_M,final_Xi,regime,blowup_step
baseline,2.6826958e-05,0.026826958,8,50,40,17.108951,0.030294795,plateau,
baseline,2.6826958e-05,0.051794747,8,50,40,6.0106754,0.016631315,plateau,
baseline,2.6826958e-05,0.1,8,50,40,0.74292338,0.009463528,plateau,
baseline,7.1968567e-05,0.001,8,50,40,63.362597,0.78194456,precursor-active,
baseline,7.1968567e-05,0.0019306977,8,50,40,58.044962,0.61106665,exponential,
baseline,7.1968567e-05,0.0037275937,8,50,40,51.084723,0.43365729,exponential,
baseline,7.1968567e-05,0.0071968567,8,50,40,42.12275,0.27641412,plateau,
baseline,7.1968567e-05,0.013894955,8,50,40,30.751261,0.15904681,plateau,
baseline,7.1968567e-05,0.026826958,8,50,40,17.588367,0.085650561,plateau,
baseline,7.1968567e-05,0.051794747,8,50,40,6.1044652,0.045798381,plateau,
baseline,7.1968567e-05,0.1,8,50,40,0.74961227,0.02571755,plateau,
baseline,0.00019306977,0.001,8,50,40,1e+09,1e+09,explosive,21
baseline,0.00019306977,0.0019306977,8,50,40,1e+09,1e+09,explosive,22
baseline,0.00019306977,0.0037275937,8,50,40,1e+09,1e+09,explosive,24
baseline,0.00019306977,0.0071968567,8,50,40,1e+09,1e+09,explosive,31
baseline,0.00019306977,0.013894955,8,50,40,38.102668,0.6653206,plateau,
baseline,0.00019306977,0.026826958,8,50,40,19.247008,0.27215926,plateau,
baseline,0.00019306977,0.051794747,8,50,40,6.3877737,0.13261169,plateau,
baseline,0.00019306977,0.1,8,50,40,0.76864537,0.071532851,plateau,
baseline,0.00051794747,0.001,8,50,40,1e+09,1e+09,explosive,10
baseline,0.00051794747,0.0019306977,8,50,40,1e+09,1e+09,explosive,10
baseline,0.00051794747,0.0037275937,8,50,40,1e+09,1e+09,explosive,10
baseline,0.00051794747,0.0071968567,8,50,40,1e+09,1e+09,explosive,11
baseline,0.00051794747,0.013894955,8,50,40,1e+09,1e+09,explosive,12
baseline,0.00051794747,0.026826958,8,50,40,1e+09,1e+09,explosive,22
baseline,0.00051794747,0.051794747,8,50,40,7.547308,0.46854529,plateau,
baseline,0.00051794747,0.1,8,50,40,0.8296886,0.21429819,plateau,
baseline,0.0013894955,0.001,8,50,120,1e+09,1e+09,explosive,6
baseline,0.0013894955,0.0019306977,8,50,120,1e+09,1e+09,explosive,6
baseline,0.0013894955,0.0037275937,8,50,120,1e+09,1e+09,explosive,6
baseline,0.0013894955,0.0071968567,8,50,120,1e+09,1e+09,explosive,6
baseline,0.0013894955,0.013894955,8,50,40,1e+09,1e+09,explosive,6
baseline,0.0013894955,0.026826958,8,50,40,1e+09,1e+09,explosive,6
baseline,0.0013894955,0.051794747,8,50,40,1e+09,1e+09,explosive,8
baseline,0.0013894955,0.1,8,50,40,1.1946432,0.95496927,plateau,
baseline,0.0037275937,0.001,8,50,120,1e+09,1e+09,explosive,4
baseline,0.0037275937,0.0019306977,8,50,120,1e+09,1e+09,explosive,4
baseline,0.0037275937,0.0037275937,8,50,120,1e+09,1e+09,explosive,4
baseline,0.0037275937,0.0071968567,8,50,120,1e+09,1e+09,explosive,4
baseline,0.0037275937,0.013894955,8,50,40,1e+09,1e+09,explosive,4
baseline,0.0037275937,0.026826958,8,50,40,1e+09,1e+09,explosive,4
baseline,0.0037275937,0.051794747,8,50,40,1e+09,1e+09,explosive,4
baseline,0.0037275937,0.1,8,50,40,1e+09,1e+09,explosive,5
