mode,alpha,mu,m0,steps,final_M,final_Xi,regime,xi_plateau,under_resolved
B_fixed_seed,0.0001,0.0016681005,10,40,9.3825438,0.0014867431,plateau,0.00011835762,True
B_fixed_seed,0.0001,0.0027825594,10,40,8.9717156,0.001409206,plateau,0.00011734,True
B_fixed_seed,0.0001,0.0046415888,10,40,8.3252119,0.0012922888,plateau,0.00011566071,True
B_fixed_seed,0.0001,0.0077426368,10,40,7.3466798,0.0011265721,plateau,0.00011290937,True
B_fixed_seed,0.0001,0.012915497,10,40,5.9587243,0.00091290402,plateau,0.00010845536,True
B_fixed_seed,0.0001,0.021544347,10,40,4.1922519,0.00067283409,plateau,0.00010138785,True
B_fixed_seed,0.0001,0.035938137,10,40,2.3162868,0.00044851411,plateau,9.0541434e-05,True
B_fixed_seed,0.0001,0.059948425,10,40,0.84422775,0.00027904567,plateau,7.4798069e-05,True
B_fixed_seed,0.0001,0.1,10,40,0.14788432,0.00017183679,plateau,5.3986426e-05,True
B_fixed_seed,0.00021544347,0.001,10,40,9.6723778,0.003324455,plateau,0.00025649921,True
B_fixed_seed,0.00021544347,0.0016681005,10,40,9.4157537,0.003217067,plateau,0.00025517532,True
B_fixed_seed,0.00021544347,0.0027825594,10,40,9.0024606,0.003048715,plateau,0.00025298115,True
B_fixed_seed,0.00021544347,0.0046415888,10,40,8.3522786,0.0027949662,plateau,0.0002493603,True
B_fixed_seed,0.00021544347,0.0077426368,10,40,7.368632,0.0024355309,plateau,0.00024342793,True
B_fixed_seed,0.00021544347,0.012915497,10,40,5.9743204,0.00197249,plateau,0.00023382438,True
B_fixed_seed,0.00021544347,0.021544347,10,40,4.2012184,0.0014527955,plateau,0.00021858583,True
B_fixed_seed,0.00021544347,0.035938137,10,40,2.3199684,0.00096777445,plateau,0.00019519976,True
B_fixed_seed,0.00021544347,0.059948425,10,40,0.84511007,0.00060176421,plateau,0.00016125604,True
B_fixed_seed,0.00021544347,0.1,10,40,0.14797162,0.00037042491,plateau,0.00011638622,True
B_fixed_seed,0.00046415888,0.001,10,40,9.748416,0.0072322805,plateau,0.00055345979,True
B_fixed_seed,0.00046415888,0.0016681005,10,40,9.4883128,0.0069968346,plateau,0.00055060255,True
B_fixed_seed,0.00046415888,0.0027825594,10,40,9.0696,0.0066279481,plateau,0.0005458671,True
B_fixed_seed,0.00046415888,0.0046415888,10,40,8.4113396,0.0060724586,plateau,0.00053805259,True
B_fixed_seed,0.00046415888,0.0077426368,10,40,7.4164784,0.0052866837,plateau,0.00052524949,True
B_fixed_seed,0.00046415888,0.012915497,10,40,6.0082606,0.0042763207,plateau,0.00050452356,True
B_fixed_seed,0.00046415888,0.021544347,10,40,4.2206941,0.0031450102,plateau,0.00047163703,True
B_fixed_seed,0.00046415888,0.035938137,10,40,2.3279488,0.0020919148,plateau,0.00042116871,True
B_fixed_seed,0.00046415888,0.059948425,10,40,0.84701905,0.0012991565,plateau,0.00034791985,True
B_fixed_seed,0.00046415888,0.1,10,40,0.14816023,0.00079905063,plateau,0.00025109969,True
B_fixed_seed,0.001,0.001,10,120,9.7419441,0.04747853,plateau,0.0011951546,True
B_fixed_seed,0.001,0.0016681005,10,120,8.9388038,0.042841427,plateau,0.0011726168,True
B_fixed_seed,0.001,0.0027825594,10,120,7.7520343,0.036485517,plateau,0.0011359933,True
B_fixed_seed,0.001,0.0046415888,10,120,6.1262956,0.028661986,plateau,0.0010775047,True
B_fixed_seed,0.001,0.0077426368,10,120,4.1537096,0.020370934,plateau,0.00098673956,True
B_fixed_seed,0.001,0.012915497,10,40,6.0830004,0.0093398776,plateau,0.0010905215,True
B_fixed_seed,0.001,0.021544347,10,40,4.2634027,0.0068468208,plateau,0.0010194084,True
B_fixed_seed,0.001,0.035938137,10,40,2.345371,0.0045393435,plateau,0.00091028388,True
B_fixed_seed,0.001,0.059948425,10,40,0.85116967,0.0028115507,plateau,0.00075191818,True
B_fixed_seed,0.001,0.1,10,40,0.14856907,0.0017261389,plateau,0.00054262195,True
B_fixed_seed,0.0021544347,0.001,10,120,11.083788,0.11986982,exponential,0.0026438106,False
B_fixed_seed,0.0021544347,0.0016681005,10,120,10.072317,0.10654829,exponential,0.0025935466,True
B_fixed_seed,0.0021544347,0.0027825594,10,120,8.6179018,0.088903817,plateau,0.0025118952,True
B_fixed_seed,0.0021544347,0.0046415888,10,120,6.6931934,0.06810571,plateau,0.0023815648,True
B_fixed_seed,0.0021544347,0.0077426368,10,120,4.4474944,0.047113108,plateau,0.0021794837,True
B_fixed_seed,0.0021544347,0.012915497,10,40,6.2519905,0.020740567,plateau,0.002366089,True
B_fixed_seed,0.0021544347,0.021544347,10,40,4.3590615,0.015093752,plateau,0.0022116585,True
B_fixed_seed,0.0021544347,0.035938137,10,40,2.3840063,0.0099343208,plateau,0.0019747144,True
B_fixed_seed,0.0021544347,0.059948425,10,40,0.86029168,0.0061167683,plateau,0.0016309264,True
B_fixed_seed,0.0021544347,0.1,10,40,0.14946161,0.0037405872,plateau,0.0011767223,True
B_fixed_seed,0.0046415888,0.001,10,120,17.190734,0.44300355,precursor-active,0.0060381887,False
B_fixed_seed,0.0046415888,0.0016681005,10,120,14.74648,0.3627447,exponential,0.0059212694,False
B_fixed_seed,0.0046415888,0.0027825594,10,120,11.800785,0.27553801,exponential,0.0057314797,False
B_fixed_seed,0.0046415888,0.0046415888,10,120,8.5396961,0.19168835,plateau,0.0054289056,True
B_fixed_seed,0.0046415888,0.0077426368,10,120,5.301017,0.12149306,plateau,0.004960662,True
